Age_client,Age_car,Driver2,Payment_annual,Client_seniority,Retention
61,15,1,1,6.0424366872,1
62,10,0,1,8.2765229295,1
59,0,0,1,8.4955509925,1
59,0,0,0,15.874058864,1
55,5,0,1,8.4490075291,0
59,0,0,0,11.266255989,1
56,12,0,1,8.5284052019,1
58,0,0,1,18.962354552,1
54,5,0,0,7.4715947981,1
54,0,1,1,11.195071869,1
55,0,0,1,17.497604381,1
53,0,0,1,13.53045859,0
49,11,0,1,9.7960301164,1
56,19,0,1,7.7097878166,1
52,7,1,1,7.7508555784,0
50,8,1,1,8.93908282,1
56,8,0,1,6.6201232033,1
49,14,0,1,7.8740588638,0
55,26,0,1,6.7104722793,1
56,15,1,1,7.5947980835,1
55,6,0,0,11.509924709,1
55,14,0,1,5.5879534565,1
51,0,0,1,22.811772758,0
50,7,0,1,6.8281998631,1
52,0,0,1,8.9062286105,1
52,0,0,1,9.3333333333,1
51,7,0,1,9.8918548939,1
52,0,0,1,8.810403833,1
51,12,0,1,7.1457905544,1
53,8,0,1,6.6392881588,1
47,0,0,1,14.773442847,0
47,0,0,1,10.872005476,1
47,14,0,1,7.5947980835,1
43,4,0,1,7.6249144422,0
44,10,0,1,7.8932238193,0
41,13,0,1,8.9253935661,1
44,0,0,1,12.574948665,1
45,8,0,1,11.635865845,1
65,9,0,1,8.2272416153,1
40,5,0,1,6.4750171116,0
38,15,0,1,7.022587269,0
39,11,0,0,9.5414099932,1
39,9,0,0,5.7193702943,1
41,0,1,1,14.395619439,1
35,0,0,1,9.3305954825,1
42,11,0,1,9.9247091034,1
36,5,0,1,6.0095824778,1
41,12,1,1,10.765229295,1
80,11,0,0,23.726214921,1
78,11,0,1,8.3832991102,1
84,0,0,1,15.627652293,1
74,0,0,1,16.607802875,0
85,12,0,1,5.5852156057,1
74,9,0,0,7.9945242984,0
77,21,0,1,6.8610540726,0
74,12,0,1,6.8062970568,1
75,0,0,1,18.072553046,1
73,9,1,1,10.691307324,0
78,8,0,1,9.2183436003,1
74,0,0,1,9.1088295688,1
78,0,0,1,18.299794661,1
74,0,0,0,21.423682409,1
85,0,1,1,22.29431896,1
75,15,0,1,7.4223134839,1
71,9,0,1,7.2963723477,1
75,12,0,1,10.444900753,1
68,11,0,1,7.0718685832,1
75,8,0,1,6.1683778234,1
72,10,0,1,8.2765229295,1
64,17,0,1,6.7296372348,0
66,13,0,1,6.250513347,0
67,10,0,1,6.5845311431,1
63,0,0,1,18.247775496,0
66,7,0,1,5.7549623546,1
66,19,0,1,6.546201232,1
61,0,0,1,12.804928131,1
64,23,0,1,5.6399726215,1
65,10,0,1,6.0780287474,1
64,11,0,1,9.6783025325,1
60,7,0,0,10.004106776,0
60,10,0,1,10.496919918,1
51,6,0,1,9.4154688569,0
58,8,1,1,10.924024641,1
62,0,0,1,16.041067762,1
61,14,0,1,10.088980151,1
60,5,0,1,7.8631074606,1
62,11,0,1,8.1889117043,1
58,7,0,1,8.681724846,1
41,12,0,0,7.3210130048,1
64,0,0,1,16.043805613,1
60,18,0,1,8.7802874743,1
54,0,0,1,10.203969884,0
55,15,1,1,5.8370978782,0
59,11,0,0,7.3374401095,1
53,0,0,1,12.257357974,0
62,13,0,1,10.269678303,1
49,0,0,1,8.6707734428,1
51,14,0,1,5.7522245038,1
53,8,0,1,8.3394934976,1
50,4,1,1,6.3709787817,0
51,24,1,0,16.93908282,1
46,0,1,1,12.914442163,0
45,9,0,0,10.92128679,1
48,0,0,0,13.245722108,1
50,0,1,1,10.078028747,1
50,0,0,1,18.242299795,0
40,0,0,1,20.205338809,1
42,14,0,1,7.2689938398,1
46,0,0,1,12.049281314,1
44,9,0,1,5.8480492813,1
44,9,0,1,5.4318959617,1
71,0,0,1,12.637919233,1
45,9,0,1,5.3278576318,1
42,10,0,0,7.0143737166,1
35,5,0,1,5.9110198494,1
36,12,0,1,9.2210814511,1
34,7,0,1,8.372347707,1
45,19,0,1,15.61670089,1
78,0,1,1,16.843258042,1
85,0,0,1,17.015742642,1
80,0,0,1,18.335386721,1
79,0,0,1,21.253935661,0
74,3,0,1,6.1793292266,1
77,11,0,1,11.400410678,1
80,22,0,0,5.067761807,1
82,0,0,1,18.746064339,1
70,19,0,1,5.1006160164,1
70,16,0,1,11.167693361,1
78,10,0,1,6.4394250513,1
78,19,0,1,5.0869267625,1
71,0,0,1,19.036276523,1
63,0,1,1,12.856947296,0
68,18,0,0,13.336071184,1
66,0,1,1,8.8761122519,1
66,10,0,1,8.205338809,1
66,12,0,1,14.203969884,1
62,0,0,1,11.586584531,1
61,6,0,0,7.0937713895,1
62,13,1,0,7.5701574264,1
62,0,0,0,11.641341547,1
62,11,1,0,11.266255989,1
58,0,0,1,12.752908966,1
61,15,0,1,6.2094455852,1
61,0,1,1,13.015742642,1
57,20,0,1,5.4291581108999996,1
55,12,1,0,6.7624914442,1
55,15,0,1,7.8220396988,1
59,11,1,1,10.617385352,1
54,8,0,1,20.684462697,0
55,11,0,0,27.989048597,1
52,8,1,0,11.600273785,0
54,22,0,0,6.4941820671,1
56,0,0,1,12.032854209,1
51,22,0,1,7.0253251198,1
52,0,1,0,9.106091718,1
49,3,0,0,6.3655030801,1
47,13,1,1,9.4455852156,0
49,8,0,0,7.6714579055,0
61,5,0,1,8.2409308693,1
50,7,0,0,9.0349075975,0
49,12,0,1,6.6611909651,1
49,9,0,0,14.655715264,1
47,23,0,1,5.7330595483,1
49,14,0,1,6.392881588,1
49,10,1,1,5.2183436003,1
44,8,0,1,11.671457906,1
45,6,0,0,6.2422997947,1
48,5,0,1,18.291581109,1
44,12,0,1,8.8131416838,1
39,10,0,0,7.7645448323,0
41,11,0,1,10.425735797,1
85,0,0,1,15.504449008,1
81,0,0,1,20.720054757,1
81,9,0,1,6.9979466119,1
85,9,0,1,20.125941136,1
79,22,0,1,7.5290896646,1
76,9,0,1,6.5927446954,0
75,2,0,1,5.6947296372,1
80,10,0,0,7.9014373717,1
81,0,0,1,19.197809719,1
82,0,0,1,15.761806982,1
76,5,0,1,10.009582478,1
77,12,1,1,18.488706366,1
76,15,0,0,18.042436687,1
80,18,0,1,6.3134839151,0
77,6,0,1,5.0924024641,1
78,12,1,1,7.4140999316,1
77,14,0,1,7.0800821355,1
76,5,0,1,6.212183436,1
71,5,0,1,5.7823408624,0
81,19,0,1,7.5290896646,0
78,18,0,1,6.160164271,1
79,11,0,1,19.126625599,1
80,11,0,1,6.1930184805,1
79,11,0,1,6.0561259411,1
79,0,0,1,9.2950034223,1
75,0,0,1,10.688569473,1
75,0,0,1,12.10403833,1
76,7,1,1,11.638603696,0
74,14,0,1,8.2464065708,1
75,13,0,1,8.7748117728,1
75,10,0,1,12.876112252,1
83,10,0,1,6.9212867899,1
71,0,0,1,10.53798768,0
73,0,0,1,10.502395619,1
72,7,0,1,6.4558521561,1
70,0,0,1,8.9144421629,1
68,0,0,0,11.022587269,1
74,0,0,0,12.120465435,1
71,0,0,1,13.916495551,1
76,0,0,1,20.355920602,1
74,0,0,1,21.70294319,1
71,9,0,1,8.0848733744,1
66,4,0,1,6.5270362765,0
75,9,0,1,7.7590691307,1
68,10,0,1,5.5852156057,1
75,7,0,1,6.0041067762,1
70,0,0,1,15.252566735,0
71,0,0,1,16.010951403,1
68,6,0,1,9.2594113621,0
61,0,0,1,8.720054757,1
79,0,0,1,20.6954141,1
68,0,0,0,19.980835044,1
68,9,0,1,6.4941820671,1
68,10,0,1,8.0985626283,1
72,21,0,1,10.926762491,1
68,0,0,1,14.891170431,1
62,6,0,1,8.295687885,0
73,11,0,1,11.017111567,1
68,12,0,1,6.0260095825,1
65,12,1,0,10.502395619,1
66,0,0,1,18.568104038,1
64,14,1,1,5.8151950719,1
65,0,1,1,31.879534565,1
65,0,0,1,15.080082136,1
75,11,0,1,8.0574948665,1
64,0,0,1,22.841889117,1
63,0,0,1,13.434633812,1
61,9,0,1,6.392881588,1
65,0,0,1,16.561259411,0
60,8,0,1,5.8863791923,1
60,9,0,0,6.0342231348,1
62,6,0,1,5.0568104038,1
65,14,0,1,5.9137577002,1
58,8,0,1,5.8836413415,1
57,8,0,1,5.1635865845,1
57,11,0,0,10.250513347,1
60,10,1,1,8.2381930185,1
60,15,0,1,7.3018480493,1
65,11,0,1,7.4715947981,1
59,0,0,1,10.168377823,1
53,21,0,1,6.8117727584,0
57,0,0,1,16.120465435,1
58,13,0,1,5.0075290897,1
58,0,0,0,9.1854893908,1
